DIE KRAFT DER MITTE!,"Wir FREIE WÄHLER stehen für eine Politik, die sich für die Bürger*innen einsetzt, die Interessen unseres Lan- des vertritt und damit die Zukunft unserer Kinder sichert. Wir treten für einen leistungs- und handlungsfähigen Staat ein, der auch in den unruhigen Zeiten die Stabilität, die Sicherheit und die Bewahrung unserer Lebens- weise garantiert. Durch die Umwälzungen in der Arbeits- und Berufswelt dürfen heimische Arbeitsplätze und der Mittelstand nicht unter die Räder kommen. Künstliche Intelligenz, Digitalisierung und Wasserstoff müs- sen genutzt werden, um den Wirtschaftsstandort Deutschland modern und zukunftsfähig zu halten und die Arbeitsplätze von morgen zu schaffen und die jetzigen Arbeitsplätze zu sichern. Die unterschiedlichen Krisen der vergangenen Jahre haben unser Land verändert. Eurokrise, Flüchtlingskrise, Klimakrise, Corona-Pandemie – die Menschen haben den Eindruck, in einer Dauerkrise zu stecken, die Ge- sellschaft ist in Unruhe, viele Bürger*innen haben Zukunftsangst. Wir FREIE WÄHLER sind nahe dran an den Sorgen der Menschen und treten für pragmatische Lösungen mit gesundem Menschenverstand ein, statt zu verunsichern und zu polarisieren. Wir müssen unsere Gesellschaft zusammenhalten, statt zu spalten. Kons- truktive Kritik ist erwünscht, Radikalisierung und Angriffe auf unsere Demokratie müssen bekämpft werden. Wir müssen unser Land wieder zur Ruhe bringen, das Schüren von Zukunftsängsten, egal von welcher Seite, ist schädlich. Wir müssen die wirtschaftliche Leistungsfähigkeit Deutschlands als Grundlage unseres Wohlstands sichern, gerade auch in Zeiten wiederholter Corona-Lockdowns. Dazu sind intelligente und zielführende Maß- nahmen gefragt, welche das Wirtschaftsleben möglichst wenig beeinträchtigen und trotzdem Infektionsschutz bieten, beispielsweise der gezielte Einsatz von FFP2-Masken statt Schließungen von Läden und Kultureinrich- tungen. Im Bund braucht es deshalb eine solide Partei der Bürger*innen, die sich die Zukunftsfähigkeit unseres Lan- des auf die Fahnen geschrieben hat. Das Vertrauen in die Menschen in unserem Land, in ihre Kenntnisse und Fähigkeiten erfüllt uns auch mit großer Zuversicht. Durch Innovation und Fortschritt werden die großen Herausforderungen der heutigen Zeit lösbar sein. Politik muss die Meinung und die Sorgen der Menschen ernst nehmen und Entscheidungen transparent und nachvollziehbar gestalten. Die Bundestagswahl mit der anschließenden Kanzlerwahl hat auch besondere Auswirkungen auf die Entscheidungsfindung im Europäi- schen Rat und in der Europäischen Union, da sich dieser aus den Regierungschefs der EU-Mitgliedstaaten zusammensetzt.",,,,
Gemeinschaft und Respekt,"Eine Gesellschaft ist mehr als eine lose Ansammlung von rücksichtslosen Individualist*innen. Unser Ziel ist eine solidarische Gesellschaft, in der Respekt vor der Freiheit eines jeden einzelnen Menschen herrscht, aber auch Respekt vor den Werten der Mehrheitsgesellschaft. Wir müssen der Vertiefung von Parallelgesellschaf- ten vorbeugen. Die Generationengerechtigkeit ist für uns ein zentrales Anliegen. Jede Generation muss dafür sorgen, dass auch die vorherige und nächste Generation in Würde, Freiheit und mit Verantwortung leben kann. Menschen müssen im Alter ihre Würde behalten, dazu braucht es auskömmliche Renten und ein hochwertiges Pflegeangebot. Gerade die Corona-Pandemie hat schonungslos vor Augen geführt, dass ein kaputtgespartes Gesundheits- und Pflegesystem in Krisensituationen zu schnell an die Grenze seiner Leistungsfähigkeit stößt und dann mit massiven Eingriffen ins gesellschaftliche und wirtschaftliche Leben reagiert werden muss, um das System nicht zu überlasten. Die Schere zwischen Armen und Reichen darf nicht weiter auseinandergehen, sondern muss kleiner werden.",,,,
Anstand und Ordnung,"Eine Gesellschaft, eine Volkswirtschaft und ein politisches System können ohne Werte und Ordnung nicht funktionieren. Wir brauchen anständige und aufrichtige Menschen in den Spitzenpositionen in unserem Land. Exzessen muss entgegengewirkt werden. Es braucht eine wirksame Finanzmarktregulierung und Unverein- barkeitsregelungen für den direkten Wechsel von politischen Amtsträger*innen in die Wirtschaft. Außerdem",,,,
Umweltschutz und Nachhaltigkeit,"Die Menschheit kann nur in einer intakten Umwelt auf Dauer überleben. Deshalb fordern wir höchste Priorität für Umwelt- und Artenschutz, Nachhaltigkeit und vor allem für den Klimaschutz durch den massiven Ausbau der erneuerbaren Energien. Wir sind überzeugt, dass auf lange Sicht Ökonomie und Ökologie keine Gegen- sätze sind, sondern untrennbar zusammengehören.",,,,
Sicherheit und Stabilität,"Internationaler Terrorismus, Pandemie, Finanzkrise, Flüchtlingskrise – der Ausnahmezustand ist offenbar der Dauerzustand, Normalität und Ruhe gehen verloren. Die Bevölkerung braucht Sicherheit und Stabilität im Inneren und nach außen. Es braucht endlich wieder bedarfsgerecht ausgerüstete Einsatzkräfte und eine funktionierende Justiz. Unsere Außenpolitik muss stärker auf eine wirtschaftliche Zusammenarbeit zur Über- windung von Gräben und zur Sicherung von Frieden setzen. Gezielte und faire wirtschaftliche Zusammenarbeit zum Wohle beider Seiten schafft auch Perspektiven in Krisenregionen und beugt unkontrollierter Armutsflucht vor. Die Sicherheitslage auf der Welt macht es aber auch notwendig, wieder eine funktionierende Verteidi- gungsarmee zu haben. Wir wollen ein attraktives Gesellschaftsjahr für alle einführen. Dies ist durch eine echte Wahlfreiheit zwischen Blaulichtorganisationen, Zivil- und Wehrdienst zu erreichen. Damit es einen Mehrwert für jeden einzelnen Menschen und die Gesellschaft gibt, braucht es Rentenansprüche und eine ordentliche Bezahlung für den künftigen Lebensweg.",,,,
Ehrlichkeit und Fleiß,"Unsere Wirtschaft funktioniert, weil die aufrichtigen Unternehmer*innen, die stolzen Arbeiter*innen und Angestellten und viele mehr sich mit Ehrlichkeit und Fleiß einbringen und unseren Wohlstand mühsam er- arbeiten. Wir wollen die Anerkennung für solide Wertschöpfung in der Gesellschaft steigern und die nötige Infrastruktur für eine erfolgreiche Volkswirtschaft schaffen. Wir stehen zum Lohnabstandsgebot, zu guten Löh- nen und der Tarifautonomie. Wer arbeitet, darf in Deutschland nicht der/die Dumme sein. Eine leistungs- und eigentumsfreundliche Steuerpolitik muss Fleiß und gute Arbeit belohnen und Eigentum stärken. Jedes Kind muss die gleiche Chance haben – unabhängig vom sozialen und finanziellen Status der Eltern.",,,,
Familie und Partnerschaft,"Die Familie ist ein Ort der Sicherheit und Geborgenheit und gibt im Alltag Halt. Wir wollen jungen Menschen ermöglichen, sich auch in der heutigen Zeit bewusst für Kinder, Familie, Lebensgemeinschaft und Ehe zu ent- scheiden. Deswegen stehen wir für eine kostenfreie Kinderbetreuung und die Privilegierung von Ehe, Lebens-",,,,
Demokratie und Bürgertum,"Wir wollen die Kluft zwischen einer Zuschauerdemokratie und dem Streben nach unmittelbarer persönlich- politischer Beteiligung und Verantwortungsübernahme schließen. Daher fordern wir Bürgerräte, Volksinitia- tiven, Volksbegehren und Volksentscheide auf Bundesebene. Diese direktdemokratischen Elemente beleben unsere repräsentative Demokratie, ohne sie dabei zu ersetzen. Verbindliche Mitbestimmungsmöglichkeiten halten Parlamentarier*innen dazu an, bereits in ihrer Gesetzgebung ein hohes Maß an Bürgerbeteiligung und Transparenz zu gewährleisten. Die Politik wird dadurch eine neue Qualität gewinnen. Wir verfolgen das Ideal der aufgeklärten, mündigen und humanistischen Bürger*innen und haben daher vor ihren direktdemokrati- schen Entscheidungen großen Respekt.",,,,
Regionund Heimat,"Lokal verwurzelte Menschen haben einen festen Bezugspunkt, Orientierung in einer globalen Welt und sind glücklichere und zufriedene Menschen. Wir stehen daher für starke Regionen, ehrenamtliches Engagement und eine intakte Heimat. Deswegen treten wir für die Förderung der lokalen Wirtschaft, solide Kommunal- finanzen, eine intakte Natur und eine flächendeckende, bäuerliche und familiengeführte Landwirtschaft mit gesunden Lebensmitteln ein. Wir lehnen die Privatisierung der öffentlichen Daseinsvorsorge (Wasser, Kran- kenhäuser, Entsorgung, öffentlicher Personennahverkehr u.v.a.m.) konsequent ab. Stabile Gemeinden, Städte und Kreise sind Garanten und Sicherstellung für eine lebenswerte Heimat. Wir werden, wie in Bayern, das Konnexitätsprinzip einführen.",,,,
GEMEINSCHAFT UND RESPEKT,"Unsere Gesellschaft steht vor der großen Herausforderung des demografischen Wandels. Der bisherigen Poli- tik der jetzigen Bundestagsparteien ist es nicht gelungen, darauf die notwendigen Antworten zu geben. Zielge- richtete Reformen unserer sozialen Sicherungssysteme wurden nicht angegangen oder aus parteipolitischem Geplänkel vertagt. Wir aber stellen uns dieser Aufgabe. Unser Rentensystem und unser Gesundheitssystem erfordern grundlegende und zukunftsfeste Reformen. Eine dauerhafte Beitragsstabilität, ein langfristig attrak- tives Rentenniveau und eine hochwertige Gesundheitsversorgung in der Stadt und auf dem Land lassen sich nur durch umfassende Reformen erreichen. Wir FREIE WÄHLER wollen diese gesellschaftspolitische Aufgabe angehen und einer Lösung zuführen. Wir wollen eine solidarische Gesellschaft, an der alle Bürger*innen teilhaben und sich für das Gemeinwesen einbringen können. Damit Zuwanderung in diesem Zusammenhang keine Belastung, sondern eine Chance für unsere Gesellschaft wird, brauchen wir aber klare Regeln.",,,,
