Partei,Thema,Meinung
"AFD","Demokratie und Rechtsstaat","Wir halten die unmittel- bare Demokratie für ein unverzichtbares Mittel, um dem autoritären und teilweise totalitären Gebaren der Regierungspolitiker Einhalt zu gebieten. Das Volk ist der Souverän Die Regierungspolitiker in Bund und Ländern haben mit ihrer Flüchtlings-, Europa- und Corona-Politik die Prinzipien der deutschen Staatlichkeit, des Rechts und der Verfassung vielfach verletzt. Zugleich haben sich die Volksvertreter der etablierten Parteien den grundgesetzlich garantierten Parlaments- vorbehalt für alle wichtigen Entscheidungen im Staat ohne Widerstand nehmen lassen. Die Bundesregierung kommt ihrer Pflicht, Vertrags- brüchen und Selbstermächtigungen durch EU-Institutionen entgegenzutreten, nicht nach. Einzelne rechts- und verfassungswidrige Maßnahmen wurden zwar durch mutige Richter in Hunderten von Urteilen zu Fall gebracht. In unserem Land hat sich aber eine politische Klasse herausgebildet, deren vordringliches Interesse ihrer Macht, ihrem Status und ihrem materiellen Wohlergehen gilt. Diese setzt die soziale und kulturelle Zukunft unseres Volkes, die Stärke unserer Wirtschaft und damit unseres Wohlstandes aufs Spiel und stellt Multikulturalität, Diversität, Globalisierung und vermeintliche Gendergerechtigkeit über alles. Sie hält die Schalthebel der staatlichen Macht, der politischen Bildung und des informationellen und medialen Einflusses auf die Bevölkerung in Händen. Deshalb halten wir die unmittelbare Demokratie für ein unverzichtbares Mittel, um dem autoritären und teilweise totalitären Gebaren der Regierungspolitiker Einhalt zu gebieten."
"AFD","Volksabstimmungen nach Schweizer Modell","Die AfD fordert Volksentscheide nach Schweizer Modell auch für Deutschland. Die uneingeschränkte Volkssouveränität in ihrer fast 200 Jahre bewährten und optimierten Gestaltung hat dem eidgenössischen Bun- desstaat eine fortwährende Spitzenstellung in Wohlstand, Frieden und Freiheit gewährleistet. Durch die Volksabstimmungen wollen wir die Flut der oftmals unsinnigen Gesetzesvorlagen eindämmen und die Parlamente zu sorgfältiger Arbeit zwingen. Unange- messenen Beschlüssen der Abgeordneten in eigener Sache wollen wir einen Riegel vorschieben. Hierzu zählen etwa die Diäten, Fraktions- und Parteien- finanzierung sowie die Finanzierung von „parteinahen“ Stiftungen. Der Wortbruch der etablierten Parteien be- züglich des Euros und die immer weitere Zentralisierung der EU bedrohen die Zukunft unseres Landes (sowie der nachfolgenden Generationen). Diese fatale Politik wollen wir beenden. Die Einführung von Volksabstimmungen nach Schweizer Modell ist für die AfD nicht verhandelbarer Inhalt jeglicher Koalitionsvereinbarungen und beinhaltet insbesondere folgende Elemente: Ohne Zustimmung des Volkes darf das Grundgesetz nicht geändert und kein bedeutsamer völkerrechtlicher Vertrag geschlossen werden. Wir wollen dem Volk das Recht geben, den Abgeordneten auf die Finger zu schauen und vom Parlament beschlossene Gesetze zu ändern oder abzulehnen. Die AfD fordert Volksentscheide nach Schweizer Modell auch für Deutschland. Die Einführung von Volksabstimmungen nach Schweizer Modell ist für die AfD nicht verhandelbarer Inhalt jeglicher Koalitions- vereinbarungen."
"AFD","Volksabstimmungen nach Schweizer Modell","Das Volk soll die Möglichkeit erhalten, Gesetzesinitia- tiven einzubringen und per Volksabstimmung zu be- schließen. Hierbei soll es jenseits des Art. 79 Abs. 3 GG keine thematischen  Beschränkungen geben. Die Qualität der Entscheidung der Bürger muss gesichert werden durch einen ausgeprägten und auto- nomen Prozess der Willensbildung, durch Informations- pflichten und -rechte und eine breite gesellschaftliche Debatte. Auch die Parlamente sollen die Möglichkeit erhalten, eine Volksabstimmung zu initiieren."
"AFD","Volksabstimmungen nach Schweizer Modell","In Schicksalsfragen  der Nation entscheiden Bürger weitsichtiger, friedfertiger und gemeinwohl- orientierter als Berufspolitiker. Als einzige der im Bundestag vertretenen Parteien halten wir das deutsche Volk für ebenso mündig wie das der Schweizer. Entgegen anderslautenden Behauptungen entscheiden Bürger in Schicksalsfragen der Nation weitsichtiger, friedfertiger und gemeinwohl- orientierter als Berufspolitiker. Das ist die Lehre aus der Wiedervereinigung, aus der Ablehnung des „EU-Verfassungsvertrags“ durch das französische und das niederländische Volk und der Entscheidung des Vereinigten Königreichs, aus der Europäischen Union auszutreten. Wir vertrauen nicht mehr darauf, dass Regierungen und Parlamente zu Währungskrisen, Migration, Islamisierung oder zur Energiewende tragfähige Lösun- gen finden. Das Volk als Souverän muss in direkter Mitbestimmung Träger solcher schicksalhaften Entscheidungen sein. Das Volk soll die Möglichkeit erhalten, Gesetzesinitia- tiven einzubringen und per Volksabstimmung zu be- schließen. Hierbei soll es jenseits des Art. 79 Abs. 3 GG keine thematischen  Beschränkungen geben. Die Qualität der Entscheidung der Bürger muss gesichert werden durch einen ausgeprägten und auto- nomen Prozess der Willensbildung, durch Informations- pflichten und -rechte und eine breite gesellschaftliche Debatte. Auch die Parlamente sollen die Möglichkeit erhalten, eine Volksabstimmung zu initiieren."
"AFD","Die Gewaltenteilung gewährleisten","Zahlreiche Gesetze und die politische Praxis haben die Gewaltenteilung in Deutschland als Kernelement des Rechtsstaats über die Jahre in Gefahr gebracht und zu einer überbordenden Staatsgewalt geführt: Ehemalige Politiker auf Richterstühlen, Abgeordnete, die zugleich Kanzler, Ministerpräsident oder Minister sind und sich insoweit selbst kontrollieren, sowie parteipolitische Netzwerke, die durch verbotene, verfassungswidrige Ämterpatronage entstehen, können nicht länger toleriert werden. Öffentliche Ämter sind ausschließlich nach „Eignung, Befähigung und fachlicher Leistung” zu vergeben (Art. 33 Abs. 2 GG). "
"AFD","Entpolitisierung der Justiz","Die AfD will die Einflussnahme der politischen Parteien auf die Ernennung von Richtern und Staatsanwälten beenden. Auch wollen wir die Praxis ändern, dass die Staatsanwaltschaft weisungsgebunden und im Einzelfall dem Justizminister berichtspflichtig ist. Die Unabhän- gigkeit der dritten Gewalt muss durch eine Selbstver- waltung der Justiz ausgebaut werden, wie es in vielen anderen europäischen Ländern bereits üblich ist. Wir unterstützen daher den Modellvorschlag des Deutschen Richterbundes, einen Justizwahlausschuss und einen Justizverwaltungsrat einzurichten. Insbesondere die Verfassungsgerichte und Rechnungshöfe sind vor parteipolitischer Einwirkung zu schützen. Die AfD will die Einfluss- nahme der politischen Parteien auf die Ernen- nung von Richtern und Staatsanwälten beenden. Insbesondere die Verfassungsgerichte und Rechnungshöfe sind vor partei- politischer Einwirkung zu schützen."
"AFD","Verfassungsschutz reformieren","Der behördlich organisierte „Verfassungsschutz” muss schnellstmöglich auf den Prüfstand gestellt und so reformiert werden, dass er in Zukunft nicht mehr als parteipolitisches Instrument gegen politische Gegner missbraucht werden kann. ""Die AfD fordert: Die Mitarbeiter der öffentlichen Verwaltung haben unabhängig und loyal ihren Dienst zu verrichten. Beamten- und Richter- stellen sind ausschließ- lich nach Qualifikation zu besetzen. Trennung von Amt und Mandat und Kampf der Ämterpatronage Kanzler, Ministerpräsidenten und Minister dürfen nicht mehr zugleich Abgeordnete sein. Die Institution der parlamentarischen Staatssekretäre ist abzuschaffen. Dies gilt auch für das Institut der „politischen Beamten“ in der Staatsverwaltung - vom Ministerialdirektor bis zum Polizeipräsidenten. Die Mitarbeiter der öffentlichen Verwaltung haben unabhängig und loyal ihren Dienst  zu verrichten. Beamten- und Richterstellen sind aus- schließlich nach Qualifikation zu besetzen. Die „Partei- buchwirtschaft“ muss beendet werden. Grundsätze der fachlichen Eignung und beruflichen Qualifikation haben auch für das Spitzenpersonal des Staates in den Kabinetten zu gelten. Parteipolitische Karrieren können fachliche Defizite nicht ausgleichen. Macht der Parteien beschränken Die Parteien sollen am politischen System mitwirken (Art. 21, Abs. 1 GG), es aber nicht beherrschen. Die All- macht der Parteien und deren „Ausbeutung des Staates“ gefährden unsere Demokratie. Diese politische Instrumentalisierung des Staates ist auch Ursache der verbreiteten Politikverdrossenheit."
"AFD","Die Loyalität der Abgeordneten muss den Bürgern und dem Staat gelten, nicht den Parteivorständen.","Neben der offiziellen Parteienfinanzierung in Höhe von mittlerweile jährlich ca. 194 Millionen Euro haben sich die Parteien zusätzliche Finanzausstattung verschafft. Hervorzuheben ist dabei die Finanzierung so- genannter politischer Stiftungen, denen alleine 600 Millionen Euro aus Mitteln des Bundeshaushalts jährlich zufließen. Ferner halten wir die jedem Bundestagsabge- ordneten zustehende „Mitarbeiterpauschale“ von 22.436 Euro monatlich für überhöht. Ob dabei in jedem Fall wissenschaftlich qualifiziertes Personal oder Partei- soldaten angestellt werden, darf hinterfragt werden. Die AfD will die gesamte staatliche Parteienfinanzierung neu regeln und deutlich begrenzen, sowie die staatliche Finanzierung von Parteistiftungen ganz abschaffen. Alle Mittel der Parteienfinanzierung sollen entgegen derzeitiger Praxis der unbeschränkten Kontrolle der Rechnungshöfe unterliegen. Unabdingbar ist auch eine restriktive und Korruption vermeidende Neuordnung der Spendenregelungen. Ferner soll den Parteien endlich die Beteiligung an Unternehmen, insbesondere Medienunternehmen, verboten werden."
"AFD","Freie Listenwahl und freies Mandat","Die politische Klasse Deutschlands hat das Wahlrecht und die Wahlverfahren im Lauf der Zeit immer besser ausgenutzt und angepasst, um den Einfluss des Volkes auf die Bewerberauswahl zu minimieren. Dem Wähler werden derzeit starre Wahllisten der Parteien zum Ankreuzen vorgelegt. Die AfD will die gesamte staatliche Parteienfi- nanzierung neu regeln und deutlich begrenzen, sowie die staatliche Finanzierung von Parteistiftungen ganz abschaffen."
"AFD","Wahlsys","Über die „sicheren Listenplätze“ bestimmen de facto die Parteivorstände die Zusammensetzung des Parlaments. Mit einer demokratischeren Gestaltung des Wahlsys- tems will die AfD dem Wähler die Entscheidung über die personelle Zusammensetzung der Parlamente zurück- geben. Deshalb treten wir für die „freie Listenwahl“ ein, mit der Möglichkeit des Kumulierens, Panaschierens und Streichens von Kandidaten."
